"연번","동명","경로당명","구분","전 화","도로명 주소"
"1","삼양","경남","사립아파트","070-4248-6800","강북구 삼양로74길 8 (미아동 경남아너스빌)"
"2","삼양","래미안미아1차","사립아파트","980-1295","강북구 삼양로 256 (미아동 삼성래미안)"
"3","삼양","미송","구립","985-2476","강북구 인수봉로 42 (미아동)"
"4","삼양","미아벽산","사립아파트","945-6365","강북구 솔샘로 159 (미아동 벽산라이브파크)"
"5","삼양","미양할머니","구립","984-5212","강북구 삼양로35가길 7-4 (미아동)"
"6","삼양","삼일","구임차","988-2328","강북구 삼양로41길 61 (미아동)"
"7","삼양","솔샘","사립아파트(임대)","986-1977","강북구 솔샘로 159 (미아동 벽산라이브파크)"
"8","삼양","실개울","구립","988-0235","강북구 삼양로43길 41-1 (미아동)"
"9","삼양","은혜","구임차","989-9924","삼양로63가길 7-26 (미아동) 스카이팰리스11A 101호"
"10","삼양","청암","구립","980-2905","강북구 솔매로22길 11 (미아동) "
"11","삼양","팔팔","구립","982-0037","강북구 인수봉로 36 (미아동)"
"12","삼양","미동","구립","982-6760","강북구 삼양로 74길 74"
"13","미아","미아","구립","988-4696","강북구 솔매로 147-11 (미아동) "
"14","미아","미아요진","사립아파트(150세대미만)","985-9691(관)","강북구 도봉로76길 52 (미아동 미아요진아파트)"
"15","미아","신일해피트리","사립아파트(150세대미만)","987-0088","강북구 오패산로 60길 22 (미아동 신일해피트리아파트)"
"16","미아","요한","사립","989-2278","강북구 도봉로49길?62 (미아동 미아3동천주교교회)"
"17","미아","운산","구립","989-4953","강북구 도봉로72길 14-4 (미아동)"
"18","미아","율곡","구립","983-0797","강북구 오패산로52아길 11 (미아동)"
"19","미아","한빛","구립","986-8224","강북구 솔매로 43길 25 (미아동)"
"20","미아","미아현대","사립아파트","985-4066","사용함(미아동 미아현대아파트)"
"21","송중","경남아너스빌","사립아파트","6318-7448","강북구 오패산로30길 30 (미아동 경남아너스빌아파트)"
"22","송중","구봉","구립","986-5823","강북구 오현로9길 97 (미아동 월드아트빌) 101호"
"23","송중","방천","구립","945-6856","강북구 월계로7길 39-9 (미아동)"
"24","송중","벽오산","구임차","985-5655","강북구 월계로21나길 30 (미아동) "
"25","송중","송중","구립","982-2475 986-0111(2층)","강북구 도봉로34길 25-3 (미아동)"
"26","송중","원송","구립","981-5925","강북구 오패산로 156-3"
"27","송중","한일U&IA","사립아파트","982-2456","강북구 월계로21가길 41 (미아동 미아한일유앤아이)"
"28","송중","꿈의숲롯데캐슬","사립아파트","980-2488","강북구 오현로 56 (미아동 꿈의숲롯데캐슬)"
"29","송천","미아동부센트레빌","사립아파트","982-7711","강북구 숭인로7가길 37 (미아동 미아 동부센트레빌)"
"30","송천","성우","사립아파트","988-9855","강북구 삼양로24길 19 (미아동 현대성우아파트)"
"31","송천","솔샘길","구립","980-3037","강북구 솔샘로 277-1 (미아동) "
"32","송천","송암","구임차","981-7916","강북구 삼양로24길 4-6 (미아동)"
"33","송천","송천","구립","980-6757","강북구 솔샘로60길 18-12 (미아동)"
"34","송천","숭인","구립","980-2328","강북구 삼양로16길 25 (미아동)"
"35","송천","큰마을효심","구립","986-4325","강북구 삼양로54길 60 (미아동) "
"36","송천","건양","구립","989-8288","강북구 삼양로38길 8-9 (미아동)"
"37","송천","송천센트레빌","사립아파트","980-2103","강북구 숭인로 39 (미아동 송천센트레빌)"
"38","삼각산","삼각산아이원","사립아파트","989-1356","강북구 삼양로19길 113 (미아동 삼각산아이원아파트)"
"39","삼각산","삼각산암산","사립아파트(임대)","988-8813","강북구 삼양로19길 113 (미아동 삼각산아이원아파트)"
"40","삼각산","SK북한산시티제1","사립아파트","984-1590","강북구 솔샘로 174 (미아동 에스케이북한산시티아파트)"
"41","삼각산","SK북한산시티제2","사립아파트(임대)","945-8852","강북구 솔샘로 174 (미아동 에스케이북한산시티아파트)"
"42","삼각산","래미안 트리베라1차경로당","사립아파트","946-1870","강북구 삼양로19길 25 (미아동 삼성 래미안 트리베라 1차)"
"43","삼각산","래미안 트리베라2차경로당","사립아파트","988-7732","강북구 삼양로27길 19 (미아동 삼성 래미안 트리베라 2차)"
"44","삼각산","미아두산위브트레지움경로당","사립아파트","945-0305","강북구 삼양로27길 80 (미아동 두산위브트레지움)"
"45","번1","동부","구립","999-3400","강북구 덕릉로52길 46 (번동) "
"46","번1","번1동","구립","994-3161","강북구 덕릉로41길 92 (번동)"
"47","번1","삼성","사립아파트","990-7283","강북구 도봉로98길 33 (번동 삼성아파트)"
"48","번1","샛강","구립","907-4711","강북구 도봉로96나길 9-1 (번동) "
"49","번1","쌍용","사립아파트(150세대미만)","996-6066","강북구 한천로124나길 10 (번동 쌍용아파트)"
"50","번1","두산위브","사립아파트(150세대미만)","905-1807","강북구 덕릉로41길 15 (번동 수유역 두산위브 아파트)"
"51","번2","교육촌","구립","988-1180","강북구 오현로25다길 36 (번동) "
"52","번2","금호어울림","사립아파트","987-4104","강북구 오현로31길 85-7 (번동 금호아파트)"
"53","번2","번4단지","사립아파트","945-0914","강북구 오현로 207 (번동 번동4단지주공아파트)"
"54","번2","번5단지","사립아파트(영구)","985-8982","강북구 한천로115길 20(번동 번동주공5단지아파트)"
"55","번2","샘골","구립","988-8827","강북구 덕릉로44길 6-4 (번동) "
"56","번2","오동","구립","986-1789","강북구 오현로25나길 92 (번동) "
"57","번2","장수촌","구임차","070-8253-0988","강북구 덕릉로 36길 22-4 (번동)"
"58","번2","오동공원현대홈타운","사립아파트","980-7767","강북구 오현로31길 89 (번동 오동공원 현대홈타운)"
"59","번2","샘마을","구립","980-9234","강북구 오현로31길 125-14(번동)"
"60","번3","골말","구립","985-6684","강북구 한천로109길 57-12 (번동)"
"61","번3","기산그린","사립아파트","6223-8956","강북구 월계로37길 137 (번동 기산그린아파트)"
"62","번3","동문","사립아파트","945-6483","강북구 오현로 128 (번동 번동동문아파트)"
"63","번3","번2단지","사립아파트(영구)","945-9802","강북구 한천로105길 24 (번동 번동2단지주공아파트)"
"64","번3","번동솔그린","사립아파트","945-2533","강북구 한천로109길 83 (번동 번동솔그린아파트)"
"65","번3","신원","사립아파트","985-2659","강북구 월계로37길 87-9 (번동 신원아파트)"
"66","번3","오현","사립아파트","989-5927","강북구 한천로105길 23 (번동 번동1단지주공아파트)"
"67","번3","한솔솔파크","사립아파트","980-7036","강북구 오현로 180 (번동 한솔솔파크아파트)"
"68","번3","한양","사립아파트","988-1117","강북구 한천로109길 69 (번동 한양아파트)"
"69","번3","한진","사립아파트","987-7175","강북구 월계로37길 61 (번동 번동한진아파트)"
"70","번3","해모로","사립아파트","984-8723","강북구 오현로 156 (번동 해모로아파트)"
"71","번3","번동3단지","사립아파트(구관리영구)","984-6152","강북구 오현로 208 (번동 번동3단지주공아파트)"
"72","수1","삼흥","사립","945-5888","강북구 삼양로77길 111 (수유동 삼흥연립2단지)"
"73","수1","큰무네미","사립","988-2122","강북구 도봉로71가길 30-9 (수유동)"
"74","수1","수유","구립","986-2803","강북구 인수봉로20길 32 (수유동) "
"75","수1","수유장수","구립","989-5243","강북구 삼양로80나길 56 (수유동)"
"76","수1","화계","구립","980-1811","강북구 인수봉로38가길 28 (수유동)"
