분류,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
연극,꿈나무극장 어린이 공연 <꿈꾸는 극장> [애니클래식 겨울왕국],2020-08-08~2020-08-08,구로 꿈나무극장,구로문화재단,36개월 이상,전석 5천원,,꿈나무극장의 여름날 찾아오는 3색 어린이 공연!  [꿈꾸는 극장],,https://www.guroartsvalley.or.kr/performance/commonView?guroart_menu_cd=U0007&currRow=2&seq_no=3402&perDisGubun=performance&returnURI=%2Fperformance%2FcurrentList&serhPerforDisplay=&serhTitle=,http://culture.seoul.go.kr/data/ci/20200617112834.jpg,2020-06-17,기관,00:00.0,00:00.0,어린이/청소년 문화행사
뮤지컬/오페라,뮤지컬 `모차르트!` 10주년 기념공연,2020-06-16~2020-08-09,세종대극장,세종문화회관,8세이상 관람 가능,"화수목	VIP석 14만원 R석 12만원 S석  9만원 A석 7만원 B석 5만원 					 금토일공휴일 VIP석 15만원 R석 13만원 S석 10만원 A석 8만원 B석 6만원  * 세종시즌 VIP/R석의 경우 2020 세종시즌패키지 예매권으로만 예매 가능합니다.  (예매권 판매기간 ~3/11 17시) /",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=30810&amp;menuNo=200004,http://culture.seoul.go.krhttps://www.sejongpac.or.kr/cmmn/file/linkedxmlImg.do?performIdx=30810,2020-06-16,,00:00.0,00:00.0,기타
뮤지컬/오페라,Das Musical MOZART! 10th Anniversary,2020-06-16~2020-08-09,세종대극장,세종문화회관,Age limit Over the age of 8,Tues/Wed/Thurs - VIP 140000 R 120000 S 90000 A 70000 B 50000 Fri/Sat/Sun/holiday - VIP 150000 R 130000 S 100000 A 80000 B 60000  * 10th only  Tues/Wed/Thurs - VIP 120000 R 100000 S 80000 A 60000 B 40000  Fri/Sat/Sun/holiday - VIP 130000 R 110000 S 90000 A 70000 B 50000 /,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=30647&amp;menuNo=200004,http://culture.seoul.go.krhttps://www.sejongpac.or.kr/cmmn/file/linkedxmlImg.do?performIdx=30647,2020-06-16,,00:00.0,00:00.0,기타
뮤지컬/오페라,뮤지컬 <모차르트!>,2020-06-16~2020-08-09,세종문화회관 세종대극장,정부문화포털,8세이상 관람 가능,화수목 VIP석 14만원 R석 12만원 S석 9만원 A석 7만원 B석 5만원/ 금토일공휴일 VIP석 15만원 R석 13만원 S석 10만원 A석 8만원 B석 6만원,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=30810&amp;menuNo=200004&amp;sdate=2020-06-11&amp;searchWrd=&amp;searchCnd=1&amp;edate=2020-06-20&amp;searchGenreCdStr=&amp;searchPlaceCdStr=&amp;pageIndex=1,http://culture.seoul.go.krhttp://www.culture.go.kr/upload/rdf/20/05/rdf_2020052010454212041.jpg,2020-06-16,,00:00.0,00:00.0,기타
클래식,2020 아람누리 마티네콘서트 패키지,2020-06-25~2020-12-10,고양아람누리 아람음악당,고양아람누리,초등학생 이상 (미취학아동 입장불가) [1인 1매],전석 : 20000원,,,,http://www.artgy.or.kr/PF/PF0201V.aspx?showid=0000006097,http://culture.seoul.go.krhttp://www.artgy.or.kr/upload/tbl_show/20191230_11.jpg,2020-06-08,,00:00.0,00:00.0,기타
콘서트,[강남구립청담도서관] 엄지북(엄마는 지금 책읽는 중),2020-01-17~2020-12-18,청담도서관 프로그램실,강남구청,책을 좋아하는 엄마들,무료,,[독서토론 동아리] 엄지북(엄마는 지금 책읽는 중),,https://library.gangnam.go.kr/cdlib/menu/10933/program/30013/lectureDetail.do?currentPageNo=1&searchCategory=&manageCd=MK&searchStatusCd=&lectureIdx=16481,http://culture.seoul.go.kr/data/ci/20200118110439.jpg,2020-01-18,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 금호아시아나솔로이스츠] 금호아시아나솔로이스츠 X 바이츠 퀸텟 (II),2020-12-25~2020-12-25,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 금호아시아나솔로이스츠] 금호아시아나솔로이스츠 X 바이츠 퀸텟 (II),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22449&s_idx=11&vwY=2020&vwM=12&se_idx=,http://culture.seoul.go.kr/data/ci/20200116154204.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 금호아시아나솔로이스츠] 금호아시아나솔로이스츠 X 바이츠 퀸텟 (I),2020-12-24~2020-12-24,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 금호아시아나솔로이스츠] 금호아시아나솔로이스츠 X 바이츠 퀸텟 (I),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22448&s_idx=11&vwY=2020&vwM=12&se_idx=,http://culture.seoul.go.kr/data/ci/20200116153955.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 베토벤의 시간 ‘17‘20] 김다솔 Piano,2020-12-17~2020-12-17,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 베토벤의 시간 ‘17‘20] 김다솔 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22447&s_idx=11&vwY=2020&vwM=12&se_idx=,http://culture.seoul.go.kr/data/ci/20200116153745.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 금호아트홀 상주음악가] 이지윤 Violin 헨리 크레이머 Piano ˝Adventure ＆ Fantasy˝,2020-12-10~2020-12-10,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 금호아트홀 상주음악가] 이지윤 Violin 헨리 크레이머 Piano ˝Adventure ＆ Fantasy˝,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22446&s_idx=11&vwY=2020&vwM=12&se_idx=,http://culture.seoul.go.kr/data/ci/20200116153123.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 세 도시 이야기:첼로] 이정란 Cello 일리야 라쉬코프스키 Piano,2020-12-03~2020-12-03,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 세 도시 이야기:첼로] 이정란 Cello 일리야 라쉬코프스키 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22445&s_idx=11&vwY=2020&vwM=12&se_idx=,http://culture.seoul.go.kr/data/ci/20200116152854.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 베토벤의 시간 ‘17‘20] 손민수 Piano,2020-11-26~2020-11-26,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 베토벤의 시간 ‘17‘20] 손민수 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22444&s_idx=11&vwY=2020&vwM=11&se_idx=,http://culture.seoul.go.kr/data/ci/20200116152636.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 금호 Exclusive] 로버트 레빈 Piano,2020-11-19~2020-11-19,금호아트홀 연세,서대문구청,미취학 아동 입장불가,8만원,,[아름다운 목요일 금호 Exclusive] 로버트 레빈 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22443&s_idx=11&vwY=2020&vwM=11&se_idx=,http://culture.seoul.go.kr/data/ci/20200116152349.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 스베틀린 루세브 Violin,2020-11-12~2020-11-12,금호아트홀 연세,서대문구청,미취학 아동 입장불가,6만원,,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 스베틀린 루세브 Violin,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22442&s_idx=11&vwY=2020&vwM=11&se_idx=,http://culture.seoul.go.kr/data/ci/20200116151428.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 앙상블 로드] 트리오 킴,2020-11-05~2020-11-05,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 앙상블 로드] 트리오 킴,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22440&s_idx=11&vwY=2020&vwM=11&se_idx=,http://culture.seoul.go.kr/data/ci/20200116151152.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 스페셜 콘서트] 2019 윤이상국제음악콩쿠르 박성용영재특별상 수상자 음악회: 임윤찬 Piano,2020-10-29~2020-10-29,금호아트홀 연세,서대문구청,미취학 아동 입장불가,3만원,,[아름다운 목요일 스페셜 콘서트] 2019 윤이상국제음악콩쿠르 박성용영재특별상 수상자 음악회: 임윤찬 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22441&s_idx=11&vwY=2020&vwM=10&se_idx=,http://culture.seoul.go.kr/data/ci/20200116150921.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 데네시 바룐 Piano,2020-10-22~2020-10-22,금호아트홀 연세,서대문구청,미취학 아동 입장불가,6만원,,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 데네시 바룐 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22439&s_idx=11&vwY=2020&vwM=10&se_idx=,http://culture.seoul.go.kr/data/ci/20200116150345.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (III),2020-10-15~2020-10-15,금호아트홀 연세,서대문구청,미취학 아동 입장불가,5만원,,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (III),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22438&s_idx=11&vwY=2020&vwM=10&se_idx=,http://culture.seoul.go.kr/data/ci/20200116150108.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (II),2020-10-14~2020-10-14,금호아트홀 연세,서대문구청,미취학 아동 입장불가,5만원,,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (II),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22437&s_idx=11&vwY=2020&vwM=10&se_idx=,http://culture.seoul.go.kr/data/ci/20200116145743.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (I),2020-10-13~2020-10-13,금호아트홀 연세,서대문구청,미취학 아동 입장불가,5만원,,[아름다운 목요일 베토벤의 시간 ‘17‘20] Happy Birthday Ludwig (I),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22436&s_idx=11&vwY=2020&vwM=10&se_idx=,http://culture.seoul.go.kr/data/ci/20200116145535.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 츠츠미 츠요시 Cello,2020-09-24~2020-09-24,금호아트홀 연세,서대문구청,미취학 아동 입장불가,6만원,,[아름다운 목요일 인터내셔널 마스터즈 시리즈] 츠츠미 츠요시 Cello,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22435&s_idx=11&vwY=2020&vwM=09&se_idx=,http://culture.seoul.go.kr/data/ci/20200116145011.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 스페셜 콘서트] 퀸 엘리자베스 콩쿠르 위너 (II),2020-09-17~2020-09-17,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 스페셜 콘서트] 퀸 엘리자베스 콩쿠르 위너 (II),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22434&s_idx=11&vwY=2020&vwM=09&se_idx=,http://culture.seoul.go.kr/data/ci/20200116144816.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 스페셜 콘서트] 퀸 엘리자베스 콩쿠르 위너 (I),2020-09-10~2020-09-10,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 스페셜 콘서트] 퀸 엘리자베스 콩쿠르 위너 (I),,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22433&s_idx=11&vwY=2020&vwM=09&se_idx=,http://culture.seoul.go.kr/data/ci/20200116144538.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 금호아트홀 상주음악가] 이지윤 Violin 프랑크 두프리 Piano ˝Sensation˝,2020-08-27~2020-08-27,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 금호아트홀 상주음악가] 이지윤 Violin 프랑크 두프리 Piano ˝Sensation˝,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22431&s_idx=11&vwY=2020&vwM=08&se_idx=,http://culture.seoul.go.kr/data/ci/20200116144318.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
클래식,[아름다운 목요일 세 도시 이야기:첼로] 문태국 Cello 한지호 Piano,2020-08-20~2020-08-20,금호아트홀 연세,서대문구청,미취학 아동 입장불가,4만원,,[아름다운 목요일 세 도시 이야기:첼로] 문태국 Cello 한지호 Piano,,http://www.kumhoarthall.com/designer/skin/01/detail.html?p_idx=22430&s_idx=11&vwY=2020&vwM=08&se_idx=,http://culture.seoul.go.kr/data/ci/20200116144038.jpg,2020-01-16,기관,00:00.0,00:00.0,기타
국악,국악쇼 썬앤문,2017-11-10~2020-08-31,서울중구정동길3 경향아트힐 2층 썬앤문 전용관,,5세이상,VIP석 6만원  R석 5만원  S석 4만원,가야금 병창 - 박나현 서은미  대금- 김한송이 김하연  아쟁 - 조누리 엄희정  해금 - 윤지우  신숙경  장구 - 이미지 선소이  무용- 노원혜 강한나,박칼린 연출 국악쇼 썬앤문  전통적 가치와 현대적 감각의 조화가 이루어진 국악과 일렉트로닉 록 팝 등  다양한 장르의 음악과 홀로그램 퍼포먼스가 결합한 융복합 공연!  국악 가락과 파워풀한 퍼포먼스에 홀로그램 영상과 환상적인 조명이 어우러져  무대를 휘감는 뉴미디어 아트의 진수를 느낄 수 있으며 관객이 일상의 물건으로 소리를 만들고  영상에 소리를 입혀보는 효과음(Foley) 관객참여형 퍼포먼스!   한국의 전통적인 음악의 새로운 시도로 한국인 뿐만 아니라 외국인들도 함께 느끼며 즐길 수 있는 국악공연!  쇼 무대 중심이 화려한 국악퍼포먼스 썬앤문!   편견을 깨고 패러다임을 바꾼 대체 불가능한 국악쇼,,http://showsunnmoon.com/,http://culture.seoul.go.kr/data/ci/20190830103839.jpg,2019-08-30,시민,00:00.0,00:00.0,기타
콘서트,요리하는 마술사,2014-09-13~2025-06-30,맛있는 극장,www.joynchohee.com,24개월 이상,평일 5900원 주말 6900원,마술사 김태훈 마술사 조희 마술사 이원혁 마술사 윤미연 마술사 안영진 마술사 고태선,쿠키만들기 체험과 마술공연이 함께하는 쿠킹매직컬 콘서트!!,1.쿠키만들기 체험 2.직접 마술 배우기 체험 3.신기한 마술공연까지 오감만족 이색 체험 매직컬 요리하는 마술사 요술사 입니다!!,www.joynchohee.com,http://culture.seoul.go.kr/data/ci/20150613172155.jpg,2015-06-13,기관,00:00.0,00:00.0,어린이/청소년 문화행사
콘서트,페인터즈: 히어로,2010-10-01~2020-12-31,서울극장 5층(종로) / 낙원상가 4층(인사동) / 한라아트홀 2층(제주),,남녀노소 누구나 즐길 수 있는 드로잉 공연 24개월 이상 관람 가능,A석 - 40000원 / S석 - 50000원 / V석 - 60000원,지난 5년 간 전 세계인의 상상력과 창의력을 자극한 페인터즈:히어로! 80분간 쉴 새 없이 거듭되는 기발한 반전은 신선한 재미와 감동을 선사해 드릴 것입니다. 4명의 페인터즈가 그려내는 좌충우돌 이야기 속에서 지금껏 보지 못한 최고의 걸작을 만나보세요.,페인터즈: 히어로는 드로잉이라는 소재를 이용하여 어린 시절 꿈꿔오던 영웅들을 코미디 마임으로 유쾌하게 표현한 새로운 형식의 퓨전 아트 퍼포먼스입니다.,[액션드로잉: 히어로]를 탄생시킨 (주)펜타토닉이 제주전용관 오픈과 해외시장 진출의 성공을 기반으로 [페인터즈: 히어로]를 야심차게 완성했습니다. 더욱 강력해진 무대로 더욱 업그레이드된 감동과 즐거움을 느낄 수 있을 것입니다,www.thepainters.co.kr,http://culture.seoul.go.kr/data/ci/20150612141411.jpg,2015-06-12,시민,00:00.0,00:00.0,기타
